এনবিএল,370
বিনিময়ে,229
বেড়াতে, 77
খাবেন,  5
ইনস্টিটিউটের,407
পণ্যেই,161
অগ্নিপরীক্ষা,486
ট্র্যাকে,379
রুশনারা, 68
মরিচ,199
মরার,193
ফার্মাসিউটিক্যালসের,237
পণ্যেও,331
বায়ুমণ্ডলে,389
বন্ধকি,191
কোহলি,357
পণ্যের,161
নীলনকশা,349
নামসর্বস্ব,  4
যুদ্ধাহত,491
ইস্তাম্বুলে,275
ফর্মটা,205
শেহজাদ,182
তাজুলের, 29
বক্তব্য,472
আঁকড়ে,203
বনফুল,289
যানবাহন,508
অ্যাঙ্গেল,468
মর্তুজা,295
সংসদে,208
হলিউড,200
অর্জনের,512
ইয়াছিন,322
শক্তভাবে,380
ফ্রেজার,562
বেহায়া,413
বন্দরে,339
গরিলা,482
নির্ণয়,461
তাকালেই,115
অক্লান্ত,512
সম্বলিত,257
সভাপতিকে,152
তাকালেন,115
কোস্ট,451
নির্দেশকের,325
আন্তরিকতা,214
দগ্ধ,509
জাকি,217
আবহাওয়া,503
বিষণ্নতা,522
ফারদিন,576
দলবাজ,101
করবর্ষে,432
জরিপের,385
যথাযথভাবে, 57
স্পাইডারম্যান,588
সংশয়ে,291
জরিপেও,385
প্রতিদ্বন্দ্বিতাপূর্ণ,205
প্রেসবক্স,515
মরুর, 65
খাবার,466
উপজেলা,242
শ্রমবাজারে,156
বোলার,182
ঘাটের,552
পার্কিং,274
পার্কার, 41
কূটনীতিকের,147
খাতুনগঞ্জে,502
কন্টিনেন্টাল,237
বোলিং,238
মর্দ,154
পূর্বাভাস,410
পাঠানোর, 82
লিটারপ্রতি,375
স্টুডিওতে, 10
ফালাহ,106
জার্নাল-এর,126
বন্ধনে,201
নেত্রকোনা,587
নেতারাও,517
নেতারাই,517
কৃষিপণ্য,343
গ্যালারি,233
বন্দরনগর,586
ম্যাডিসন, 45
প্রতারণামূলক,279
জাগো,359
জাগে,286
সরকারিভাবে,558
খালিশপুর,599
চাওলা,357
ভবিষ্যদ্বাণী,416
শিল্পমালিকদের,449
পাঠিয়েছিলেন, 61
বোলের,137
সংবাদমাধ্যমে, 63
দমন-পীড়ন,574
জীবনধারা,201
জাতি,192
বহিষ্কারের,152
ভালোভাবে,520
স্বাস্থ্যসেবার,397
বন্দুক,423
টার্নিং,454
বন্দীর,341
ক্রমশই,232
টার্নার,562
জাদু,269
পুরোটাই,  7
এয়ারলাইনসের,179
বঙ্গোপসাগরের,437
সুপরিচিত,438
সেটিংসের,257
ছড়ায়,144
